address,city,state,zip_code,acquired_at,status,purchase_price,current_value,sale_price,sold_at,construction_cost_total,legal_fees_total,interest_paid_total,notes
1824 N Woodlawn Blvd,Wichita,KS,67208,2022-03-14,active,148000,236500,,,38500,6200,9400,"Single-family rehab with premium finishes and strong rental comps"
4107 E Mainsgate Ct,Wichita,KS,67226,2021-09-02,sold,121000,0,214000,2023-11-17,27200,4300,7800,"Sold after 14-month hold; staged and listed in spring market"
913 S Saint Paul Ave,Wichita,KS,67213,2020-05-21,active,98000,167000,,,24500,3100,5600,"Value-add duplex; one side renovated in 2025"
5502 N Colonial Ave,Park City,KS,67219,2019-11-08,sold,156000,0,248500,2022-06-30,31900,5900,11200,"Retail flip exit; replaced roof and HVAC before sale"
7447 W 21st St N,Wichita,KS,67205,2023-01-12,active,205000,318000,,,46200,7100,12600,"High-demand district; currently optimized as mid-term rental"
2211 N Fairview Ave,Wichita,KS,67203,2024-04-03,active,132500,189000,,,21400,2800,4900,"Light cosmetic rehab completed with updated kitchens"
118 S Hydraulic St,Wichita,KS,67211,sold,87500,0,154000,2025-02-19,19600,2600,4300,"Fast-turn project with investor-buyer off-market exit"
9705 W Thurman St,Maize,KS,67101,2021-07-26,active,224000,352000,,,53800,7600,13300,"Long-hold appreciation play with steady tenant history"
633 E Zimmerly St,Wichita,KS,67211,2022-12-05,sold,109000,0,171500,2024-09-10,23750,3400,6100,"Portfolio cleanup sale; legal/title work resolved prior lien"
2840 N Clarence Ave,Wichita,KS,67204,2025-01-15,active,141000,198500,,,18200,2900,3700,"Newer acquisition with phased capex plan through Q4"
